,title,abstract,decision,zero_shot
53,Cardiometabolic traits mediating the effect of education on osteoarthritis risk: a Mendelian randomization study,"OBJECTIVE: To investigate which cardiometabolic factors underlie clustering of osteoarthritis (OA) with cardiovascular disease, and the extent to which these mediate an effect of education., DESIGN: Genome-wide association study (GWAS) of OA was performed in UK Biobank (60,800 cases and 328,251 controls) to obtain genetic association estimates for OA risk. Genetic instruments and association estimates for body mass index (BMI), low-density lipoprotein cholesterol (LDL-C), systolic blood pressure (SBP), smoking and education were obtained from existing GWAS summary data (sample sizes 188,577-866,834 individuals). Two-sample Mendelian randomization (MR) analyses were performed to investigate the effects of exposure traits on OA risk. MR mediation analyses were undertaken to investigate whether the cardiometabolic traits mediate any effect of education on OA risk., RESULTS: MR analyses identified protective effects of higher genetically predicted education (main MR analysis odds ratio (OR) per standard deviation increase 0.59, 95% confidence interval (CI) 0.54-0.64) and LDL-C levels (OR 0.94, 95%CI 0.91-0.98) on OA risk, and unfavourable effects of higher genetically predicted BMI (OR 1.82, 95%CI 1.73-1.92) and smoking (OR 2.23, 95%CI 1.85-2.68). There was no strong evidence of an effect of genetically predicted SBP on OA risk (OR 0.98, 95% CI 0.90-1.06). The proportion of the effect of genetically predicted education mediated through genetically predicted BMI and smoking was 35% (95%CI 13-57%)., CONCLUSIONS: These findings highlight education, obesity and smoking as common mechanisms underlying OA and cardiovascular disease. These risk factors represent clinical and public health targets for reducing multi-morbidity related to the burden these common conditions. Copyright © 2021 The Authors. Published by Elsevier Ltd.. All rights reserved.",Included,Included
185,"Cardiometabolic, Lifestyle, and Nutritional Factors in Relation to Varicose Veins: A Mendelian Randomization Study","Background We conducted a 2-sample Mendelian randomization study to assess the associations of cardiometabolic, lifestyle, and nutritional factors with varicose veins. Methods and Results Independent single-nucleotide polymorphisms associated with height (positive control), body mass index, type 2 diabetes, diastolic and systolic blood pressure, smoking, alcohol and coffee consumption, 7 circulating vitamins (A, B6, B9, B12, C, 25-hydroxyvitamin D, and E), and 5 circulating minerals (calcium, iron, magnesium, selenium, and zinc) at the genome-wide significance level were used as instrumental variables. Summary-level data for the genetic associations with varicose veins were obtained from the UK Biobank (8763 cases and 352 431 noncases) and the FinnGen consortium (13 928 cases and 153 951 noncases). Genetically predicted higher height, body mass index, smoking, and circulating iron levels were associated with an increased risk of varicose veins. The odds ratios (ORs) per 1-SD increase in the exposure were 1.34 (95% CI, 1.25-1.43) for height, 1.39 (95% CI, 1.27-1.52) for body mass index, 1.12 (95% CI, 1.04-1.22) for the prevalence of smoking initiation, and 1.24 (95% CI, 1.16-1.33) for iron. Higher genetically predicted systolic blood pressure and circulating calcium and zinc levels were associated with a reduced risk of varicose veins, whereas the association for systolic blood pressure did not persist after adjustment for genetically predicted height. The OR was 0.75 (95% CI, 0.62-0.92) per 1-SD increase in calcium levels and 0.97 (95% CI, 0.95-0.98) for zinc. Conclusions This study identified several modifiable risk factors for varicose veins.",Included,Included
161,Cardiovascular risk factors and lifestyle behaviours in relation to longevity: a Mendelian randomization study,"BACKGROUND: The American Heart Association introduced the Life's Simple 7 initiative to improve cardiovascular health by modifying cardiovascular risk factors and lifestyle behaviours. It is unclear whether these risk factors are causally associated with longevity., OBJECTIVES: This study aimed to investigate causal associations of Life's Simple 7 modifiable risk factors, as well as sleep and education, with longevity using the two-sample Mendelian randomization design., METHODS: Instrumental variables for the modifiable risk factors were obtained from large-scale genome-wide association studies. Data on longevity beyond the 90th survival percentile were extracted from a genome-wide association meta-analysis with 11,262 cases and 25,483 controls whose age at death or last contact was <= the 60th survival percentile., RESULTS: Risk factors associated with a lower odds of longevity included the following: genetic liability to type 2 diabetes (OR 0.88; 95% CI: 0.84;0.92), genetically predicted systolic and diastolic blood pressure (per 1-mmHg increase: 0.96; 0.94;0.97 and 0.95; 0.93;0.97), body mass index (per 1-SD increase: 0.80; 0.74;0.86), low-density lipoprotein cholesterol (per 1-SD increase: 0.75; 0.65;0.86) and smoking initiation (0.75; 0.66;0.85). Genetically increased high-density lipoprotein cholesterol (per 1-SD increase: 1.23; 1.08;1.41) and educational level (per 1-SD increase: 1.64; 1.45;1.86) were associated with a higher odds of longevity. Fasting glucose and other lifestyle factors were not significantly associated with longevity., CONCLUSION: Most of the Life's Simple 7 modifiable risk factors are causally related to longevity. Prevention strategies should focus on modifying these risk factors and reducing education inequalities to improve cardiovascular health and longevity. Copyright © 2020 The Authors. Journal of Internal Medicine published by John Wiley & Sons Ltd on behalf of Association for Publication of The Journal of Internal Medicine.",Included,Included
55,Causal Effect of Adiposity Measures on Blood Pressure Traits in 2 Urban Swedish Cohorts: A Mendelian Randomization Study,"Background Different adiposity traits may be causally related to hypertension in different ways. By using genetic variants as randomly allocated proxies for studying the effect of modifying adiposity traits, the Mendelian randomization approach can be used to investigate this. Methods and Results In this study, we used 4 different genetic risk scores (GRS; GRS-BMI565, GRS-WHR324, GRS-VAT208, GRS-BF81) including hundreds of single nucleotide polymorphisms associated with body mass index, waist-to-hip ratio, visceral adipose tissue, and body fat, respectively. These were applied as instrumental variables in Mendelian randomization analyses. Two Swedish urban-based cohort studies, the Malmo Diet and Cancer, and the Malmo Preventive 795Projects were used to obtain genetic association estimates with blood pressure (BP). In both the Malmo Preventive Projects and Malmo Diet and Cancer studies, except for that for body fat, all of the genetic risk scores were significantly associated with systolic BP and diastolic BP, but with different magnitudes. In particular, in both cohorts, each standard deviation increase in the genetic risk score made up by the 324 single nucleotide polymorphisms associated with waist-to-hip ratio was associated with doubling of the likelihood of hypertension prevalence at baseline. However, only the genetic risk score made up by the 565 SNPs associated with body mass index was significantly associated with hypertension incidence during 23.6+/-4.3 years of follow-up in the Malmo Preventive Project. Conclusions We support a causal link between genetically mediated adiposity, especially waist-to-hip ratio and body mass index, and BP traits including hypertension prevalence and, for the first time to our knowledge, hypertension incidence. The differences in magnitude between these associations might suggest different mechanisms by which different adiposity affects BP/hypertension and consequently may indicate that tailored interventions are needed to reduce cardiovascular risk.",Included,Included
177,Causal Effects of Overall and Abdominal Obesity on Insulin Resistance and the Risk of Type 2 Diabetes Mellitus: A Two-Sample Mendelian Randomization Study,"Overall and abdominal obesity were significantly associated with insulin resistance and type 2 diabetes mellitus (T2DM) risk in observational studies, though these associations cannot avoid the bias induced by confounding effects and reverse causation. This study aimed to test whether these associations are causal, and it compared the causal effects of overall and abdominal obesity on T2DM risk and glycemic traits by using a two-sample Mendelian randomization (MR) design. Based on summary-level statistics from genome-wide association studies, the instrumental variables for body mass index (BMI), waist-to-hip ratio (WHR), and WHR adjusted for BMI (WHRadjBMI) were extracted, and the horizontal pleiotropy was analyzed using MR-Egger regression and the MR-pleiotropy residual sum and outlier (PRESSO) method. Thereafter, by using the conventional MR method, the inverse-variance weighted method was applied to assess the causal effect of BMI, WHR, and WHRadjBMI on T2DM risk, Homeostatic model assessment of insulin resistance (HOMA-IR), fasting insulin, fasting glucose, and Hemoglobin A1c (HbA1c). A series of sensitivity analyses, including the multivariable MR (diastolic blood pressure, systolic blood pressure, high-density lipoprotein cholesterol, and low-density lipoprotein cholesterol as covariates), MR-Egger regression, weighted median, MR-PRESSO, and leave-one-out method, were conducted to test the robustness of the results from the conventional MR. Despite the existence of horizontal pleiotropy, consistent results were found in the conventional MR results and sensitivity analyses, except for the association between BMI and fasting glucose, and WHRadjBMI and fasting glucose. Each one standard deviation higher BMI was associated with an increased T2DM risk [odds ratio (OR): 2.741; 95% confidence interval (CI): 2.421-3.104], higher HbA1c [1.054; 1.04-1.068], fasting insulin [1.202; 1.173-1.231], and HOMA-IR [1.221; 1.187-1.255], similar to findings for causal effect of WHRadjBMI on T2DM risk [1.993; 1.704-2.33], HbA1c [1.061; 1.042-1.08], fasting insulin [1.102; 1.068-1.136], and HOMA-IR [1.127; 1.088-1.167]. Both BMI (P = 0.546) and WHRadjBMI (P = 0.443) were unassociated with fasting glucose in the multivariable MR analysis. In conclusion, overall and abdominal obesity have causal effects on T2DM risk and insulin resistance but no causal effect on fasting glucose. Individuals can substantially reduce their insulin resistance and T2DM risk through reduction of body fat mass and modification of body fat distribution. Copyright © 2020 Xu, Jin and Guan.",Included,Included
50,"Causal Factors for Knee, Hip, and Hand Osteoarthritis: A Mendelian Randomization Study in the UK Biobank","OBJECTIVE: There is no curative treatment for osteoarthritis (OA), which is the most common form of arthritis. This study was undertaken to identify causal risk factors of knee, hip, and hand OA., METHODS: Individual-level data from 384,838 unrelated participants in the UK Biobank study were analyzed. Mendelian randomization (MR) analyses were performed to test for causality for body mass index (BMI), bone mineral density (BMD), serum high-density lipoprotein cholesterol, low-density lipoprotein cholesterol, and triglyceride levels, type 2 diabetes, systolic blood pressure (BP), and C-reactive protein (CRP) levels. The primary outcome measure was OA determined using hospital diagnoses (all sites, n = 48,431; knee, n = 19,727; hip, n = 11,875; hand, n = 2,330). Odds ratios (ORs) with 95% confidence intervals (95% CIs) were calculated., RESULTS: MR analyses demonstrated a robust causal association of genetically determined BMI with all OA (OR per SD increase 1.57 [95% CI 1.44-1.71]), and with knee OA and hip OA, but not with hand OA. Increased genetically determined femoral neck BMD was causally associated with all OA (OR per SD increase 1.14 [95% CI 1.06-1.22]), knee OA, and hip OA. Low systolic BP was causally associated with all OA (OR per SD decrease 1.55 [95% CI 1.29-1.87]), knee OA, and hip OA. There was no evidence of causality for the other tested metabolic factors or CRP level., CONCLUSION: Our findings indicate that BMI exerts a major causal effect on the risk of OA at weight-bearing joints, but not at the hand. Evidence of causality of all OA, knee OA, and hip OA was also observed for high femoral neck BMD and low systolic BP. However, we found no evidence of causality for other metabolic factors or CRP level. Copyright © 2019 The Authors. Arthritis & Rheumatology published by Wiley Periodicals, Inc. on behalf of American College of Rheumatology.",Included,Included
13,"Causal Inference for Genetic Obesity, Cardiometabolic Profile and COVID-19 Susceptibility: A Mendelian Randomization Study","BACKGROUND: Cross-sectional observational studies have reported obesity and cardiometabolic co-morbidities as important predictors of coronavirus disease 2019 (COVID-19) hospitalization. The causal impact of these risk factors is unknown at present., METHODS: We conducted multivariable logistic regression to evaluate the observational associations between obesity traits (body mass index [BMI], waist circumference [WC]), quantitative cardiometabolic parameters (systolic blood pressure [SBP], serum glucose, serum glycated hemoglobin [HbA1c], low-density lipoprotein [LDL] cholesterol, high-density lipoprotein [HDL] cholesterol and triglycerides [TG]) and SARS-CoV-2 positivity in the UK Biobank cohort. One-sample MR was performed by using the genetic risk scores of obesity and cardiometabolic traits constructed from independent datasets and the genotype and phenotype data from the UK Biobank. Two-sample MR was performed using the summary statistics from COVID-19 host genetics initiative. Cox proportional hazard models were fitted to assess the risk conferred by different genetic quintiles of causative exposure traits., RESULTS: The study comprised 1,211 European participants who were tested positive for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and 387,079 participants who were either untested or tested negative between 16 March 2020 to 31 May 2020. Observationally, higher BMI, WC, HbA1c and lower HDL-cholesterol were associated with higher odds of COVID-19 infection. One-sample MR analyses found causal associations between higher genetically determined BMI and LDL cholesterol and increased risk of COVID-19 (odds ratio [OR]: 1.15, confidence interval [CI]: 1.05-1.26 and OR: 1.58, CI: 1.21-2.06, per 1 standard deviation increment in BMI and LDL cholesterol respectively). Two-sample MR produced concordant results. Cox models indicated that individuals in the higher genetic risk score quintiles of BMI and LDL were more predisposed to COVID-19 (hazard ratio [HR]: 1.24, CI: 1.03-1.49 and HR: 1.37, CI: 1.14-1.65, for the top vs the bottom quintile for BMI and LDL cholesterol, respectively)., CONCLUSION: We identified causal associations between BMI, LDL cholesterol and susceptibility to COVID-19. In particular, individuals in higher genetic risk categories were predisposed to SARS-CoV-2 infection. These findings support the integration of BMI into the risk assessment of COVID-19 and allude to a potential role of lipid modification in the prevention and treatment. Copyright © 2020 Aung, Khanji, Munroe and Petersen.",Included,Included
94,Causal association between adiposity and cardiovascular disease,No abstract available,Excluded,Excluded
97,Causal association of body mass index with hypertension using a Mendelian randomization design,"Observational studies have shown that obesity is a major risk factor for hypertension, but unmeasured confounding factors may exist. We used Mendelian randomization (MR) to assess the causal effect of obesity on hypertension. The MR analysis was performed in a well-defined community cohort study of 8832 middle-aged (40-69 years) adults in Korea enrolled from 2001 to 2013. We used baseline hypertension and newly diagnosed hypertension during the 10-year follow-up period as the outcome variable. Genetic risk score associated with body mass index (BMI GRS) was used as the instrumental variable (IV) to measure the causal relationship between obesity and hypertension. The IV estimate of causal odds ratio (OR) was derived using the Wald ratio estimator and then exponentiation to express the result as an OR. In the multivariable model adjusting for age, sex, study area, education, smoking, and current alcohol consumption, each 1 kg/m increase in BMI was associated with a 19% (OR: 1.19, 95% confidence interval [CI]: 1.17-1.21) increase in hypertension risk. We selected 6 single-nucleotide polymorphisms (P < 1.0 x 10) associated with BMI by genome-wide screening using linear regression and created 6 types of GRS. We demonstrated that each standard-deviation increase in BMI GRS was associated with a 5% to 6% (OR: 1.05-1.06) increased risk of hypertension (all P < .05). Using BMI GRS as the IV, we found a causal relationship between BMI and hypertension (OR: 1.13-1.26, all P < .05 except weighted GRS [n = 6]). Using Mendelian randomization, we found that obesity is causally associated with hypertension. This information will have important public health implications, supporting evidence that obesity-reduction programs will reduce the incidence of hypertension.",Included,Included
144,Causal associations of body mass index and waist-to-hip ratio with cardiometabolic traits among Chinese children: A Mendelian randomization study,"BACKGROUND AND AIMS: Body mass index (BMI) and waist-to-hip ratio (WHR) have been reported to be causally associated with cardiometabolic diseases in adults in European populations. However, this causality was less explored in East Asian populations and in children. Our study aimed to explore and compare the causal associations of general obesity (measured by BMI) and central obesity (measured by WHR) with cardiometabolic traits., METHODS AND RESULTS: We performed a Mendelian randomization (MR) analysis in 2030 unrelated children from two independent case-control studies in Beijing, China. BMI-associated single nucleotide polymorphisms (SNPs) and WHR-SNPs identified by previous genome-wide association studies were used as genetic instruments to examine the casual associations of BMI and WHR with cardiometabolic traits, including glycemic traits, blood lipids, and blood pressure. Each 1-SD increase in BMI and WHR were significantly associated with 0.111 mmol/L and 0.110 mmol/L increase in log-transformed fasting insulin (FINS), 0.049 and 0.060 increase in log-transformed HOMA-beta, 0.112 and 0.108 increase in log-transformed HOMA-IR, 0.009 mmol/L and 0.015 mmol/L increase in log-transformed triglyceride, and 15.527 mmHg and 7.277 mmHg increase in systolic blood pressure, respectively (all P < 0.05). The receiver operating characteristic curves showed that WHR had a stronger effect on FINS, HOMA-beta, HOMA-IR, and triglyceride than BMI (all P < 0.05)., CONCLUSIONS: Using the MR method, we found that the genetic predisposition to higher BMI or WHR was associated with altered cardiometabolic traits in Chinese children. When compared with general obesity, central obesity might have stronger effects on glycemic traits and blood lipids among children. Copyright © 2020 The Italian Diabetes Society, the Italian Society for the Study of Atherosclerosis, the Italian Society of Human Nutrition and the Department of Clinical Medicine and Surgery, Federico II University. Published by Elsevier B.V. All rights reserved.",Included,Included
10,Causal associations of tobacco smoking with cardiovascular risk factors: a Mendelian randomization analysis of the HUNT Study in Norway,"BACKGROUND: Tobacco smoking has been associated with cardiovascular risk factors including adverse serum lipid levels, central obesity and higher resting heart rate, but lower blood pressure and body mass index (BMI). We used a Mendelian randomization approach to study whether these associations may be causal. If smoking affects cardiovascular risk factors then rs1051730 T alleles, predictors of increased smoking quantity, should be associated with cardiovascular risk factors among smokers, but not among never smokers., METHODS: Among 56,625 participants of a population-based study, we estimated associations of rs1051730 T alleles with cardiovascular risk factors and examined whether the associations differed by smoking status., RESULTS: Rs1051730 T alleles were associated with lower BMI and waist and hip circumferences and higher resting heart rate and estimated glomerular filtration rate (eGFR), and the associations were strongest among current smokers (P interaction 5x10(-9) to 0.01). Rs1051730 T alleles were associated with lower systolic blood pressure and pulse pressure and higher HDL cholesterol concentrations, but these associations did not robustly differ by smoking status. There were no convincing associations of rs1051730 T alleles with waist-hip ratio, diastolic blood pressure and non-fasting serum concentrations of non-HDL cholesterol, triglycerides, glucose and C-reactive protein., CONCLUSIONS: This Mendelian randomization analysis provides evidence that smoking may cause lower BMI and waist and hip circumferences and higher resting heart rate and eGFR. The findings further suggest that smoking is not a major determinant of waist-hip ratio or adverse blood pressure, serum lipid or glucose levels. Copyright © The Author 2014; all rights reserved. Published by Oxford University Press on behalf of the International Epidemiological Association.",Included,Included
133,Causal effect of alcohol use on the risk of end-stage kidney disease and related comorbidities: a Mendelian randomization study,"BACKGROUND: An inverse observational association between alcohol use and the risk of chronic kidney disease (CKD) or end-stage kidney disease (ESKD) has been reported. The causal effect of alcohol use on the risk of ESKD warrants additional investigation., METHODS: The study was an observational cohort study investigating the UK Biobank and performed Mendelian randomization (MR) analysis. Amounts of alcohol use were collected using a touchscreen questionnaire. In the observational analysis, 212,133 participants without prevalent ESKD were studied, and the association between alcohol use and the risk of prevalent CKD or incident ESKD was investigated. The genetic analysis included 337,138 participants of white British ancestry. For one-sample MR, an analysis based on a polygenic risk score (PRS) was conducted with genetically predicted alcohol intake. The MR analysis investigated ESKD outcome and related comorbidities., RESULTS: Lower alcohol use was observationally associated with a higher risk of prevalent CKD or incident ESKD. However, the genetic risk of CKD was significantly associated with lower alcohol use, suggesting reverse causation. A higher PRS for alcohol use was significantly associated with a higher risk of ESKD (per units of one phenotypical alcohol drink; adjusted odds ratio of 1.16 [95% confidence interval, 1.02-1.31]) and related comorbidities, including hypertension, diabetes mellitus, obesity, and central obesity., CONCLUSION: The inverse observational association between alcohol use and the risk of CKD or ESKD may have been affected by reverse causation. Our study supports a causal effect of alcohol use on a higher risk of ESKD and related predisposing comorbidities.",Included,Included
68,Causal effects of body mass index on cardiometabolic traits and events: a Mendelian randomization analysis,"Elevated body mass index (BMI) associates with cardiometabolic traits on observational analysis, yet the underlying causal relationships remain unclear. We conducted Mendelian randomization analyses by using a genetic score (GS) comprising 14 BMI-associated SNPs from a recent discovery analysis to investigate the causal role of BMI in cardiometabolic traits and events. We used eight population-based cohorts, including 34,538 European-descent individuals (4,407 type 2 diabetes (T2D), 6,073 coronary heart disease (CHD), and 3,813 stroke cases). A 1 kg/m(2) genetically elevated BMI increased fasting glucose (0.18 mmol/l; 95% confidence interval (CI) = 0.12-0.24), fasting insulin (8.5%; 95% CI = 5.9-11.1), interleukin-6 (7.0%; 95% CI = 4.0-10.1), and systolic blood pressure (0.70 mmHg; 95% CI = 0.24-1.16) and reduced high-density lipoprotein cholesterol (-0.02 mmol/l; 95% CI = -0.03 to -0.01) and low-density lipoprotein cholesterol (LDL-C; -0.04 mmol/l; 95% CI = -0.07 to -0.01). Observational and causal estimates were directionally concordant, except for LDL-C. A 1 kg/m(2) genetically elevated BMI increased the odds of T2D (odds ratio [OR] = 1.27; 95% CI = 1.18-1.36) but did not alter risk of CHD (OR 1.01; 95% CI = 0.94-1.08) or stroke (OR = 1.03; 95% CI = 0.95-1.12). A meta-analysis incorporating published studies reporting 27,465 CHD events in 219,423 individuals yielded a pooled OR of 1.04 (95% CI = 0.97-1.12) per 1 kg/m(2) increase in BMI. In conclusion, we identified causal effects of BMI on several cardiometabolic traits; however, whether BMI causally impacts CHD risk requires further evidence. Copyright © 2014 The American Society of Human Genetics. Published by Elsevier Inc. All rights reserved.",Included,Included
63,Causal effects of cardiovascular risk factors on onset of major age-related diseases: A time-to-event Mendelian randomization study,"BACKGROUNDS: Elucidating the causal effects of common intermediate risk factors on the onset of age-related diseases is indispensable for developing prevention and intervention procedures., METHODS: We conducted two-stage time-to-event Mendelian randomization meta-analyses combining five large-scale longitudinal cohorts to investigate dynamic causal effects of cardiovascular disease risk factors including body mass index (BMI), systolic blood pressure (SBP), and lipids on the age-at-onset of age-related diseases. We constructed weighted polygenic scores based on genetic markers from previously reported genome-wide association studies as instrumental variables to estimate the causal effects. To avoid false positive due to potential pleiotropic effects of the genetic markers, we performed a leave-one-out sensitivity analysis and an MR-Egger sensitivity analysis that we expanded in the survival context., RESULTS: Our results show that elevated BMI increases the absolute risk of type 2 diabetes (T2D) (p=7.68e-04), heart failure (p=9.03e-03), and cardiovascular diseases (CVD) (p=1.69e-03) and the causal effects start at different ages. A significant association between BMI and the risk of stroke is observed; however, the sensitivity analyses suggest that the association is attributed to the potential pleiotropic effects of rs2867125 and rs1558902. Raised SBP levels are significantly associated with the development of atrial fibrillation (p=6.42e-03). Low-density lipoprotein cholesterol (LDL-C) levels are inversely associated with the age-at-onset of T2D (p=1.05e-02). In addition, LDL-C and triglycerides are inversely associated with the risks of cancer and T2D, respectively. Nevertheless, the sensitivity analyses suggest that these associations are probably due to pleiotropic effects of several single-nucleotide polymorphisms including rs4970834 and rs1260326., CONCLUSIONS: Our results highlight the involvement of BMI in the development of multiple age-related diseases. Some observed causal associations can attribute to pleiotropic effects of some genetic variations. These findings have important implications in unraveling causal effects of common risk factors on age-related diseases and guiding effective intervention strategies to reduce the incidence of these diseases. Copyright © 2017 Elsevier Inc. All rights reserved.",Included,Included
167,Causal inference for heritable phenotypic risk factors using heterogeneous genetic instruments,"Over a decade of genome-wide association studies (GWAS) have led to the finding of extreme polygenicity of complex traits. The phenomenon that ""all genes affect every complex trait"" complicates Mendelian Randomization (MR) studies, where natural genetic variations are used as instruments to infer the causal effect of heritable risk factors. We reexamine the assumptions of existing MR methods and show how they need to be clarified to allow for pervasive horizontal pleiotropy and heterogeneous effect sizes. We propose a comprehensive framework GRAPPLE to analyze the causal effect of target risk factors with heterogeneous genetic instruments and identify possible pleiotropic patterns from data. By using GWAS summary statistics, GRAPPLE can efficiently use both strong and weak genetic instruments, detect the existence of multiple pleiotropic pathways, determine the causal direction and perform multivariable MR to adjust for confounding risk factors. With GRAPPLE, we analyze the effect of blood lipids, body mass index, and systolic blood pressure on 25 disease outcomes, gaining new information on their causal relationships and potential pleiotropic pathways involved.",Included,Included
25,Causal relationships between obesity and the leading causes of death in women and men,"Obesity traits are causally implicated with risk of cardiometabolic diseases. It remains unclear whether there are similar causal effects of obesity traits on other non-communicable diseases. Also, it is largely unexplored whether there are any sex-specific differences in the causal effects of obesity traits on cardiometabolic diseases and other leading causes of death. We constructed sex-specific genetic risk scores (GRS) for three obesity traits; body mass index (BMI), waist-hip ratio (WHR), and WHR adjusted for BMI, including 565, 324, and 337 genetic variants, respectively. These GRSs were then used as instrumental variables to assess associations between the obesity traits and leading causes of mortality in the UK Biobank using Mendelian randomization. We also investigated associations with potential mediators, including smoking, glycemic and blood pressure traits. Sex-differences were subsequently assessed by Cochran's Q-test (Phet). A Mendelian randomization analysis of 228,466 women and 195,041 men showed that obesity causes coronary artery disease, stroke (particularly ischemic), chronic obstructive pulmonary disease, lung cancer, type 2 and 1 diabetes mellitus, non-alcoholic fatty liver disease, chronic liver disease, and acute and chronic renal failure. Higher BMI led to higher risk of type 2 diabetes in women than in men (Phet = 1.4x10-5). Waist-hip-ratio led to a higher risk of chronic obstructive pulmonary disease (Phet = 3.7x10-6) and higher risk of chronic renal failure (Phet = 1.0x10-4) in men than women. Obesity traits have an etiological role in the majority of the leading global causes of death. Sex differences exist in the effects of obesity traits on risk of type 2 diabetes, chronic obstructive pulmonary disease, and renal failure, which may have downstream implications for public health.",Included,Included
124,"Coffee intake and risk of obesity, metabolic syndrome and type 2 diabetes: a Mendelian randomization study","BACKGROUND: Coffee is one of the most widely consumed beverages. We tested the hypothesis that genetically high coffee intake is associated with low risk of obesity, metabolic syndrome and type 2 diabetes, and with related components thereof., METHODS: We included 93,179 individuals from two large general population cohorts in a Mendelian randomization study. We tested first whether high coffee intake is associated with low risk of obesity, metabolic syndrome and type 2 diabetes, and with related components thereof, in observational analyses; second, whether five genetic variants near the CYP1A1, CYP1A2 and AHR genes are associated with coffee intake; and third, whether the genetic variants are associated with obesity, metabolic syndrome and type 2 diabetes, and with related components thereof. Finally, we tested the genetic association with type 2 diabetes in a meta-analysis including up to 78,021 additional individuals from the DIAGRAM consortium., RESULTS: Observationally, high coffee intake was associated with low risk of obesity, metabolic syndrome and type 2 diabetes. Further, high coffee intake was associated with high body mass index, waist circumference, weight, height, systolic/diastolic blood pressure, triglycerides and total cholesterol and with low high-density lipoprotein cholesterol, but not with glucose levels. In genetic analyses, 9-10 vs 0-3 coffee-intake alleles were associated with 29% higher coffee intake. However, genetically derived high coffee intake was not associated convincingly with obesity, metabolic syndrome, type 2 diabetes, body mass index, waist circumference, weight, height, systolic/diastolic blood pressure, triglycerides, total cholesterol, high-density lipoprotein cholesterol or glucose levels. Per-allele meta-analysed odds ratios for type 2 diabetes were 1.01 (0.98-1.04) for AHR rs4410790, 0.98 (0.95-1.01) for AHR rs6968865, 1.01 (0.99-1.03) for CYP1A1/2 rs2470893, 1.01 (0.98-1.03) for CYP1A1/2 rs2472297 and 0.98 (0.95-1.01) for CYP1A1 rs2472299., CONCLUSIONS: High coffee intake was associated observationally with low risk of obesity, metabolic syndrome and type 2 diabetes, and was associated observationally with related components thereof, but with no genetic evidence to support corresponding causal relationships. Copyright © The Author 2015; all rights reserved. Published by Oxford University Press on behalf of the International Epidemiological Association.",Included,Included
60,Cognitive ability and physical health: a Mendelian randomization study,"Causes of the association between cognitive ability and health remain unknown, but may reflect a shared genetic aetiology. This study examines the causal genetic associations between cognitive ability and physical health. We carried out two-sample Mendelian randomization analyses using the inverse-variance weighted method to test for causality between later life cognitive ability, educational attainment (as a proxy for cognitive ability in youth), BMI, height, systolic blood pressure, coronary artery disease, and type 2 diabetes using data from six independent GWAS consortia and the UK Biobank sample (N = 112 151). BMI, systolic blood pressure, coronary artery disease and type 2 diabetes showed negative associations with cognitive ability; height was positively associated with cognitive ability. The analyses provided no evidence for casual associations from health to cognitive ability. In the other direction, higher educational attainment predicted lower BMI, systolic blood pressure, coronary artery disease, type 2 diabetes, and taller stature. The analyses indicated no causal association from educational attainment to physical health. The lack of evidence for causal associations between cognitive ability, educational attainment, and physical health could be explained by weak instrumental variables, poorly measured outcomes, or the small number of disease cases.",Included,Included
33,Common quantitative trait locus downstream of RETN gene identified by genome-wide association study is associated with risk of type 2 diabetes mellitus in Han Chinese: a Mendelian randomization effect,"OBJECTIVE: Plasma resistin level is a potential molecular link between obesity and diabetes. Causal role of resistin, type 2 diabetes mellitus (T2DM) and genetic variants have not been thoroughly investigated. Therefore, we conducted a genome-wide association study (GWAS) to identify quantitative trait loci associated with resistin levels and investigated whether these variants were prospectively associated with the development of metabolic syndrome (MetS) and T2DM in an independent community-based cohort, the CardioVascular Disease risk FACtors Two-township Study (CVDFACTS)., RESEARCH DESIGN AND METHODS: We genotyped 382 young-onset hypertensive (YOH) subjects with Illumina HumanHap550 chips and searched for quantitative trait loci (QTLs) of resistin in the 1(st) stage GWAS and confirmed the finding in another 559 YOH subjects. Logistic regression was used to examine the Mendelian randomization effects between genotypes of confirmed QTLs and metabolic outcomes in 3400 subjects of CVDFACTS., RESULTS: Two single nucleotide polymorphisms (SNP) (rs3745367 and rs1423096) were significantly associated with resistin levels (p = 5.52 x 10(-15) and p = 2.54 x 10(-20) ) and replicated in another 559 YOH subjects (p = 1.29 x 10(-3) and p = 1.13 x 10(-7) ), respectively. The SNP rs1423096 was further associated with the levels of HDL-C (p = 0.006), the risk of MetS (OR = 2.21, p = 0.0034) and T2DM (OR = 1.62, p = 0.0063) in the CVDFACTS. People with the haplotypes A-G and G-G determined by rs3745367 and rs1423096 showed a significantly increased T2DM risk (p = 0.0068 and p = 0.0035, respectively) compared with those with A-A haplotype., CONCLUSION: We have found that rs3745367 and rs1423096 on the RETN gene were significantly associated with resistin levels. However, rs1423096, downstream of RETN, seems to be associated with MetS and T2DM risk more so than rs3745367. The established genotype-disease association points to a causal association of resistin and T2DM. Copyright © 2013 John Wiley & Sons, Ltd.",Excluded,Excluded
